"TextTitle","Text_Author","TotalSentences","SentencesWithTokens","PercentageSentencesWithTokens","TotalTokens","AvgSentenceLengthInChars","AvgSentenceLengthInWords","POSDistribution"
"Суламифь","Александр Иванович Куприн","1576","24","1.52","67","283.27","41.78","{""ADJ"": 9, ""ADP"": 6, ""DET"": 4, ""NOUN"": 23, ""VERB"": 3, ""CCONJ"": 2, ""PUNCT"": 1, ""SCONJ"": 1, ""VERB_HEAD"": 17}"
"Алые паруса","Александр Степанович Грин","1369","18","1.31","42","130.88","19.17","{""ADJ"": 6, ""ADP"": 3, ""DET"": 4, ""NOUN"": 7, ""PRON"": 1, ""VERB"": 1, ""CCONJ"": 1, ""PUNCT"": 1, ""VERB_HEAD"": 17}"
"Петр Первый","Алексей Николаевич Толстой","14828","169","1.14","346","173.53","25.70","{""ADJ"": 38, ""ADP"": 18, ""ADV"": 5, ""AUX"": 2, ""DET"": 4, ""NUM"": 2, ""NOUN"": 46, ""PART"": 1, ""VERB"": 10, ""CCONJ"": 6, ""PROPN"": 5, ""PUNCT"": 6, ""SCONJ"": 1, ""VERB_HEAD"": 116}"
"Севастопольские рассказы","Лев Николаевич Толстой","2124","24","1.13","59","222.14","31.83","{""ADJ"": 12, ""ADP"": 2, ""ADV"": 2, ""DET"": 2, ""NOUN"": 5, ""PRON"": 1, ""VERB"": 5, ""CCONJ"": 2, ""PUNCT"": 1, ""VERB_HEAD"": 12}"
"Темные аллеи","Иван Алексеевич Бунин","4756","53","1.11","149","440.37","68.61","{""ADJ"": 26, ""ADP"": 5, ""ADV"": 4, ""DET"": 6, ""INTJ"": 1, ""NOUN"": 41, ""PART"": 2, ""PRON"": 2, ""VERB"": 4, ""CCONJ"": 5, ""PROPN"": 1, ""PUNCT"": 1, ""VERB_HEAD"": 29}"
"Аэлита","Алексей Николаевич Толстой","4063","36","0.89","71","104.80","16.08","{""ADJ"": 10, ""ADP"": 4, ""ADV"": 1, ""NOUN"": 20, ""PRON"": 1, ""VERB"": 3, ""CCONJ"": 3, ""SPACE"": 1, ""VERB_HEAD"": 13}"
"Тихий Дон","Михаил Александрович Шолохов","19267","159","0.83","410","137.39","19.80","{""ADJ"": 81, ""ADP"": 12, ""ADV"": 1, ""AUX"": 1, ""DET"": 11, ""NOUN"": 81, ""PART"": 4, ""PRON"": 4, ""VERB"": 16, ""CCONJ"": 5, ""PROPN"": 2, ""PUNCT"": 1, ""VERB_HEAD"": 96}"
"Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой","11438","95","0.83","219","130.00","19.15","{""ADJ"": 30, ""ADP"": 15, ""ADV"": 2, ""AUX"": 1, ""NOUN"": 48, ""PART"": 3, ""PRON"": 1, ""VERB"": 4, ""CCONJ"": 3, ""PROPN"": 5, ""PUNCT"": 7, ""SCONJ"": 1, ""VERB_HEAD"": 61}"
"Другие берега","Владимир Владимирович Набоков","5063","41","0.81","115","288.84","41.45","{""ADJ"": 22, ""ADP"": 4, ""ADV"": 1, ""DET"": 4, ""NOUN"": 22, ""PART"": 1, ""PRON"": 1, ""VERB"": 9, ""CCONJ"": 7, ""PROPN"": 1, ""PUNCT"": 3, ""SCONJ"": 1, ""VERB_HEAD"": 27}"
"Жизнь Клима Самгина","Максим Горький","40987","320","0.78","742","159.03","23.61","{""ADJ"": 91, ""ADP"": 18, ""ADV"": 3, ""DET"": 14, ""NOUN"": 117, ""PART"": 5, ""PRON"": 8, ""VERB"": 24, ""CCONJ"": 9, ""PROPN"": 1, ""PUNCT"": 6, ""SCONJ"": 1, ""VERB_HEAD"": 164}"
