"SentenceID","Sentence_text","TextTitle","Text_Author","cross_count","tokens","words","parts_of_speech"
47229,"Вбежав в болото, Ласка тотчас же среди знакомых ей запахов кореньев, болотных трав, ржавчины и чуждого запаха лошадиного помета почувствовала рассеянный по всему этому месту запах птицы, той самой пахучей птицы, которая более всех других волновала ее.","Анна Каренина","Лев Николаевич Толстой","14","{запах}","{вбежать,знакомых,и,кореньев,ласка,пахучей,помёт,почувствовать,птица,рассеять,среди,тотчас,чуждый}","{ADJ,ADP,ADV,CCONJ,NOUN,PROPN,VERB,VERB_HEAD}"
602443,"По всей улице стоял резкий, едкий и не неприятный запах навоза, шедший и от тянувшихся в гору по глянцевито-укатанной дороге телег, и, главное, из раскопанного навоза дворов, мимо отворенных ворот которых проходил Нехлюдов.","Воскресение","Лев Николаевич Толстой","11","{запах,навоз}","{главный,двор,и,идти,из,навоз,проходить,раскопанного,резкий,стоять}","{ADJ,ADP,CCONJ,NOUN,VERB,VERB_HEAD}"
336081,"Знамения пришествия его: трава никоциана, сиречь табак, повелят жечь ее и дым глотать, и тереть в порошок, и нюхать, и вместо пения псалмов будут непрестанно тот порошок нюхать и чихать.","Петр Первый","Алексей Николаевич Толстой","11","{дым,нюхать}","{быть,глотать,и,непрестанно,пение,порошок,чихать}","{ADV,AUX,CCONJ,NOUN,VERB,VERB_HEAD}"
568213,"В этот момент только агатовый влажный нос его живет в могущественном мире слитных запахов, ловя жадно разверстыми, трепещущими ноздрями и пресный, все обволакивающий запах снега, и неугасимую горечь убитой морозами полыни, и сенной веселый душок конского помета с ближнего шляха, и несказанно волнующий, еле ощутимый аромат куропатиного выводка, залегшего на дальней бурьянистой меже.","Поднятая целина","Михаил Александрович Шолохов","11","{аромат,душок,запах}","{весёлый,волновать,выводок,жить,и,обволакивать,ощутимый,помёт,сенной,слитный,снег}","{ADJ,CCONJ,NOUN,VERB,VERB_HEAD}"
574939,"Над хутором после утренней стряпни все еще стлался горьковатый кизечный дымок, легкий ветер шевелил над дорогой пресный запах цветущей лебеды, а от скотиньих базов, мимо которых проезжал дед Щукарь, тянуло знакомым с детства запахом коровьего навоза и парного молока.","Поднятая целина","Михаил Александрович Шолохов","10","{запах,навоз}","{дорогой,знакомым,коровий,лебеда,молоко,навоз,над,пресный,тянуло,шевелил}","{ADJ,ADP,NOUN,VERB_HEAD}"
299014,"Калиостро продолжал:

– Духи вод, Нимфы, вас призываю именем Невыразимого, которое выговаривается как звук Ра… Придите и делайте ваше дело…

При этих словах Алексей Алексеевич услышал отдаленный шум будто набегающего на песок прибоя и, не отрывая глаз от Прасковьи Павловны, с ужасом заметил, как все формы лица ее начали становиться зыбкими, неуловимыми…

– Духи огня, Саламандры, – громовым уже голосом говорил Калиостро, могущественные и своевольные, вас призываю именем Невыразимого, которое выговаривается как буква Иод.","Гиперболоид инженера Гарина (сборник)","Алексей Николаевич Толстой","10","{дух}","{–,…,вода,нимфы,огонь,призывать,продолжать,саламандра,услышать}","{NOUN,PROPN,PUNCT,VERB,VERB_HEAD}"
444249,"Вязкий, вялый какой-то запах от лопухов, и пронзительно едкий — от крапивы, мешаются со сладким духом, необычайно тонким, как где-то пролитые духи, — от яблок.","Лето Господне","Иван Сергеевич Шмелев","9","{дух,запах}","{какой,лопух,мешаться,пролитые,сладкий,со,то,тонкий}","{ADJ,ADP,DET,NOUN,VERB_HEAD}"
281250,"И он, находивший веселие сердца в сверкающих переливах драгоценных камней, в аромате египетских благовонных смол, в нежном прикосновении легких тканей, в сладостной музыке, в тонком вкусе красного искристого вина, играющего в чеканном нинуанском потире, – он любил также гладить суровые гривы львов, бархатные спины черных пантер и нежные лапы молодых пятнистых леопардов, любил слушать рев диких зверей, видеть их сильные и прекрасные движения и ощущать горячий запах их хищного дыхания.","Суламифь","Александр Иванович Куприн","9","{аромат,запах}","{в,вкус,горячий,дыхание,любить,музыка,ощущать,прикосновение,смола}","{ADJ,ADP,NOUN,VERB_HEAD}"
102693,"И оба приятеля отправились в комнату Базарова, в которой уже успел установиться какой-то медицинско-хирургический запах, смешанный с запахом дешевого табаку.","Отцы и дети","Иван Сергеевич Тургенев","9","{запах}","{какой,медицинско,с,смешать,табак,то,установиться,хирургический}","{ADJ,ADP,DET,NOUN,VERB,VERB_HEAD}"
23090,"Из летка не пахнет, как прежде, спиртовым, душистым запахом меда и яда, не несет оттуда теплом полноты, а с запахом меда сливается запах пустоты и гнили.","Война и мир","Лев Николаевич Толстой","9","{запах}","{как,мёд,пахнуть,пустота,с,сливаться,спиртовой}","{ADJ,ADP,NOUN,SCONJ,VERB_HEAD}"
365028,"Иногда они оба целыми часами стояли на одной ноге в непонятной неподвижности, иногда ни с того ни с сего подпрыгивали, раскрывая огромные крылья; а не то важно прогуливались, выступали медленно, мерно, поднимали лапы, в комок сжимая три их пальца, а ставили разлато, раздвигая пальцы, как хищные когти, и все время качали головками… Впрочем, когда она подбегала к ним, он уже ни о чем не думал и ничего не видел — видел только ее распустившийся сарафан, смертной истомой содрогаясь при мысли о ее смуглом теле под ним, о темных родинках на нем. А в тот последний их день, в то последнее их сидение рядом в гостиной на диване, над томом старой «Нивы», она тоже держала в руках его картуз, прижимала его к груди, как тогда, в лодке, и говорила, блестя ему в глаза радостными черно-зеркальными глазами:

— А я так люблю тебя теперь, что мне нет ничего милее даже вот этого запаха внутри картуза, запаха твоей головы и твоего гадкого одеколона!","Темные аллеи","Иван Алексеевич Бунин","9","{запах,одеколон}","{вот,гадкий,голова,даже,и,картуз,нет,твой,этот}","{ADJ,CCONJ,DET,NOUN,PART,VERB_HEAD}"
